商品ID,商品名,価格,カロリー
1,しょうが焼＆ミックスフライ,500,829
2,さば塩焼＆から揚,500,784
3,黒酢酢鶏＆メンチカツ,500,721
4,和風ハンバーグ＆コロッケ,500,789
5,塩レモンチキン＆白身フライ,500,704
6,焼とん重,490,735
7,まぐろかつ重,500,771
8,釜揚げしらすごはん,460,506
9,釜玉しらすごはん,530,583
10,牛キャベ丼,420,586
11,牛キャベ丼＋フライドエッグ,480,734
12,牛キャベ丼＋フライドエッグ＋白身フライ,530,910
13,牛キャベ丼＋フライドエッグ＋塩から揚,520,831
14,牛キャベ丼＋全部のせ,580,1010
15,焼肉ビビンバ,560,684
16,焼肉ビビンバ（半熟たまごなし）,490,607
17,ガパオライス,430,714
18,牛カルビ重,590,742
19,野菜が摂れる〜20品目の彩り弁当〜,500,406
20,鮭幕の内弁当,690,734
21,海鮮天とじ丼,560,777
22,海鮮天丼,520,666
23,ハンバーグ＆エビフライコンビ弁当,570,758
24,なす味噌弁当,490,719
25,塩から揚弁当,470,798
26,特塩から揚弁当,520,891
27,から揚弁当,470,717
28,特から揚弁当,520,790
29,チキン南蛮弁当,530,884
30,おろしチキン竜田弁当,530,841
31,ロースとんかつ弁当,500,803
32,デミハンバーグ弁当,520,809
33,チーズハンバーグ弁当,570,862
34,エッグハンバーグ弁当,580,957
35,焼肉弁当,630,736
36,ロースかつとじ弁当,500,820
37,肉野菜炒め弁当,540,705
38,和風幕の内弁当,540,710
39,特撰幕の内弁当,840,847
40,のり弁当,350,681
41,のりタルタル弁当,370,746
42,特のりタル弁当,450,899
43,のり銀鮭弁当,490,772
44,ロースかつ丼,470,828
45,極うま親子丼,430,695
46,めんたい高菜弁当,540,633
47,ビーフステーキ弁当,690,619
48,ビーフカレー,460,573
49,ハンバーグカレー,700,924
50,ロースカツカレー,650,878
51,のり牛,390,830
52,ＢＩＧのり弁（コロッケ）,490,1119
53,ドラえもんランチ（おにぎり）　　,490,423
54,ドラえもんランチ（カレー）,490,418
55,博多辛子明太のり弁当,390,672
56,博多辛子明太のりタルタル弁当,410,737
57,博多辛子明太特のりタル弁当,490,890
58,ツナマヨネーズのり弁当,390,748
59,ツナマヨネーズのりタルタル弁当,410,813
60,ツナマヨネーズ特のりタル弁当,490,966
61,ＢＩＧのり弁（白身フライ）,520,1077
