メニュー,カロリー,価格,塩分
彩りガーデンサラダ,130,299,1.1
小エビのサラダ,115,349,1.3
やわらかチキンのサラダ,134,299,1.2
わかめサラダ,92,299,2.1
イタリアンサラダ,196,299,0.7
シーフードサラダ,229,599,2.4
半熟卵とポークのサラダ,433,599,2.3
コーンクリームスープ,142,149,1.1
冷たいパンプキンスープ（季節限定）,105,149,0.9
たっぷり野菜のミネストローネ（季節限定）,222,299,2.1
削りたてペコリーノチーズ,59,100,0.6
ミニフィセル,188,169,1
ガーリックトースト,252,189,1.1
辛味チキン,374,299,2.2
アスパラガスのオーブン焼き（季節限定）,221,299,1.1
ポップコーンシュリンプ,215,299,1.4
エスカルゴのオーブン焼き,256,399,1.6
ムール貝のガーリック焼き,164,399,1.3
野菜ソースのグリルソーセージ,570,399,3.1
チョリソー,393,399,2
柔らか青豆の温サラダ,213,199,1.1
ほうれん草のソテー,138,199,1.2
キャベツとアンチョビのソテー,80,199,1.5
ポテトのグリル,366,199,2
セロリのピクルス（季節限定）,52,199,1.3
真イカのパプリカソース,138,199,1.1
フォッカチオ,214,119,0.8
プチフォッカ,214,139,0.8
セットプチフォッカ,107,79,0.4
フレッシュチーズとトマトのサラダ,203,299,0.4
フレッシュチーズとトマトのサラダ（Wサイズ）,406,598,0.8
プロシュート,162,399,1.8
プロシュート（Wサイズ）,324,798,3.6
熟成ミラノサラミ,95,299,1.1
熟成ミラノサラミ（Wサイズ）,190,598,2.2
マルゲリータピザ,568,399,2.5
パンチェッタのピザ,646,399,2.9
野菜ときのこのピザ,610,399,2.7
やわらかイカのアンチョビのピザ,593,499,4.6
バッファローモッツァレラのピザ,575,499,2.3
ミラノサラミのピザ,606,499,3.5
ほうれん草のグラタン（季節限定）,521,399,1.9
シーフードグラタン,537,499,2.2
アラビアータ,591,399,4.2
ミートソースボロニア風,582,399,4.3
半熟卵のミートソースボロニア風,672,468,4.5
アーリオ・オーリオ,560,299,3.2
キャベツのペペロンチーノ,686,399,3.5
タラコソースシシリー風,605,399,3.7
スープ入りトマト味ボンゴレ（季節限定）,686,499,4.8
パルマ風スパゲッティ,700,399,4.2
イカの墨入りスパゲッティ,610,499,3.8
カルボナーラ,865,499,4.1
アスパラガスとエビのクリームスパゲッティ（季節限定）,711,499,3.5
アラビアータ（Wサイズ）,1182,770,8.4
ミートソースボロニア風（Wサイズ）,1164,770,8.6
アーリオ・オーリオ（Wサイズ）,1120,574,6.4
キャベツのペペロンチーノ（Wサイズ）,1372,770,7
タラコソースシシリー風（Wサイズ）,1210,770,7.4
パルマ風スパゲッティ（Wサイズ）,1400,770,8.4
イカの墨入りスパゲッティ（Wサイズ）,1220,976,7.6
カルボナーラ（Wサイズ）,1730,976,8.2
アスパラガスとエビのクリームスパゲッティ（季節限定）（Wサイズ）,1422,976,7
トッピング半熟卵,90,69,0.2
ミラノ風ドリア,542,299,2.7
半熟卵のミラノ風ドリア,632,368,2.9
セットプチフォッカ付きミラノ風ドリア,649,378,3.1
いろどり野菜のミラノ風ドリア,590,399,3.1
エビとイカのドリア,624,499,2.9
シーフードパエリア,602,599,3.6
エビと野菜のトマトクリームリゾット,302,399,2.2
ハヤシ＆ターメリックライス,638,499,3.3
半熟卵のハヤシ＆ターメリックライス,728,568,3.5
ミックスグリル,823,599,3.8
ハンバーグステーキ,514,399,2.3
デミグラスソースのハンバーグ,628,499,2.6
野菜ソースのハンバーグ（ディアボラ風）,585,499,3.6
イタリアンハンバーグ,633,499,2.5
焼肉とハンバーグの盛合せ,709,599,3.4
若鶏のグリル（ディアボラ風）,541,499,2.1
柔らかチキンのチーズ焼き,588,499,2
パンチェッタと若鶏のグリル,663,599,2.5
リブステーキ,621,999,1.5
ライス,303,169,0
ラージライス,454,219,0
スモールライス,151,119,0
カプチーノ（アイスケーキ）（季節限定）,114,199,0.1
ティラミス（アイスケーキ）,131,199,0.1
シナモンフォッカチオ,246,169,0.8
プリンとカプチーノの盛合せ,330,399,0.2
プリンとティラミスの盛合せ,347,399,0.2
ミルクアイスのせシナモンフォッカチオ,346,319,0.9
ミルクジェラート,100,199,0.1
シチリア産レモンのソルベ,127,199,0
イタリアンプリン,216,249,0.1
チョコレートケーキ,166,299,0.1
コーヒーゼリー,162,299,0.1
トリフアイスクリーム,164,369,0.1
